Tempo,DimInput,posCercata
939499.0,100,58
68333.0,100,24
79150.0,100,29
67866.66666666667,100,47
77467.0,100,61
51175.0,100,79
55525.0,100,63
49540.0,100,86
48960.0,100,87
38866.5,100,7
34516.666666666664,100,1
27012.5,100,90
20360.1,100,57
20809.090909090908,100,6
42740.0,100,96
20920.1,100,13
18972.727272727272,100,73
17408.25,100,5
18016.666666666668,100,10
23633.333333333332,100,40
19736.454545454544,100,63
15007.142857142857,100,5
11976.470588235294,100,2
13573.333333333334,100,32
16315.384615384615,100,96
11461.111111111111,100,33
7396.392857142857,100,71
12147.058823529413,100,39
11085.0,100,61
9719.095238095239,100,94
9904.809523809523,100,60
10810.526315789473,100,64
9600.0,100,77
9200.04347826087,100,20
9880.952380952382,100,87
10244.95,100,79
9318.136363636364,100,71
10642.105263157895,100,83
7507.407407407408,100,25
9690.42857142857,100,32
10300.0,111,78
7540.777777777777,111,69
1904.7169811320755,111,53
3809.4528301886794,111,9
4883.333333333333,111,19
2943.463768115942,111,79
4179.591836734694,111,105
5491.918918918919,111,106
4463.04347826087,111,50
3886.519230769231,111,3
4050.0,111,11
4019.627450980392,111,59
3610.714285714286,111,7
4540.0,111,90
4071.98,111,23
6014.705882352941,111,108
4098.02,111,81
4353.191489361702,111,39
4065.98,111,38
5253.846153846154,111,77
3660.018181818182,111,94
9738.095238095239,111,73
7328.571428571428,111,19
3970.5882352941176,111,39
3619.660714285714,111,3
4488.888888888889,111,39
4295.765957446809,111,71
4700.023255813953,111,107
4965.8536585365855,111,103
4260.416666666667,111,74
7081.818181818182,111,3
4643.181818181818,111,49
4513.355555555556,111,18
4423.913043478261,111,49
4520.0,111,57
4391.326086956522,111,96
3633.9285714285716,111,11
4683.7441860465115,111,101
4861.9047619047615,111,80
3692.7454545454543,111,8
6050.0,124,88
5315.789473684211,124,54
7830.7307692307695,124,51
5521.621621621622,124,65
4634.090909090909,124,5
5456.756756756757,124,79
5586.8421052631575,124,106
5666.666666666667,124,103
5669.472222222223,124,99
5602.777777777777,124,88
5258.948717948718,124,53
4378.239130434783,124,31
9413.636363636364,124,62
8483.375,124,31
6368.71875,124,53
5941.14705882353,124,113
5450.0,124,6
6519.354838709677,124,14
6226.441176470588,124,106
9091.260869565218,124,93
11211.166666666666,124,124
10289.95,124,18
9619.047619047618,124,72
8921.739130434782,124,40
11047.368421052632,124,116
10615.0,124,67
9313.636363636364,124,7
6359.40625,124,28
9368.181818181818,124,93
10905.21052631579,124,120
9513.636363636364,124,43
9857.142857142857,124,13
9254.5,124,4
9619.095238095239,124,20
8756.521739130434,124,13
12382.35294117647,124,90
6600.0,124,39
5922.857142857143,124,35
5223.076923076923,124,33
4943.90243902439,124,93
5932.35294117647,138,19
5389.473684210527,138,71
5194.871794871795,138,87
5760.0,138,131
5264.128205128205,138,5
5758.333333333333,138,109
6716.666666666667,138,52
6583.8387096774195,138,135
5808.571428571428,138,106
5297.368421052632,138,8
5037.5,138,23
5110.0,138,4
4693.023255813953,138,13
5562.135135135135,138,106
5454.054054054054,138,65
5246.153846153846,138,72
7113.793103448276,138,35
4380.413043478261,138,99
5459.4324324324325,138,85
6334.375,138,134
5310.526315789473,138,82
5535.108108108108,138,104
5276.923076923077,138,26
4909.731707317073,138,1
5641.666666666667,138,32
6290.59375,138,138
5851.428571428572,138,125
5407.894736842105,138,42
5107.475,138,106
4990.243902439024,138,47
5342.131578947368,138,85
5713.888888888889,138,122
6061.764705882353,138,46
9472.727272727272,138,23
5605.527777777777,138,76
5217.948717948718,138,21
5166.666666666667,138,7
5349.973684210527,138,28
7278.571428571428,138,45
4748.860465116279,138,38
6151.515151515152,154,108
6846.666666666667,154,123
5976.470588235294,154,84
5000.024390243902,154,13
6793.366666666667,154,149
6596.774193548387,154,117
6406.25,154,131
6178.757575757576,154,87
6760.0,154,130
5791.428571428572,154,57
6733.366666666667,154,106
6163.606060606061,154,28
8191.96,154,94
5926.441176470588,154,6
5822.857142857143,154,18
5988.264705882353,154,108
6315.59375,154,6
5935.294117647059,154,127
5791.428571428572,154,18
4919.512195121952,154,13
5923.5,154,49
5697.194444444444,154,23
131288.88888888888,154,9
4564.422222222222,154,43
4441.326086956522,154,114
4792.857142857143,154,21
5702.777777777777,154,89
5529.72972972973,154,60
6175.787878787879,154,142
4155.102040816327,154,3
4620.454545454545,154,136
4402.173913043478,154,14
4317.021276595745,154,14
4212.5,154,121
4684.090909090909,154,74
5274.384615384615,154,41
6139.393939393939,154,66
5055.025,154,9
4517.777777777777,154,46
4456.521739130435,154,85
5207.666666666667,172,129
5636.111111111111,172,156
5040.025,172,71
4546.666666666667,172,34
3653.5714285714284,172,17
4847.619047619048,172,16
4395.673913043478,172,1
5092.5,172,73
5521.621621621622,172,140
4391.304347826087,172,23
4355.31914893617,172,27
4540.0,172,49
4252.083333333333,172,24
5137.5,172,135
4965.8536585365855,172,153
4890.476190476191,172,32
4948.780487804878,172,60
5171.7692307692305,172,114
4241.6875,172,2
5187.179487179487,172,97
5363.131578947368,172,66
5594.472222222223,172,141
5708.305555555556,172,142
5075.0,172,93
5042.5,172,128
5543.243243243243,172,166
5212.820512820513,172,71
4985.390243902439,172,61
5938.205882352941,172,168
4880.976190476191,172,90
5874.285714285715,172,78
4491.0888888888885,172,20
5355.263157894737,172,110
5264.076923076923,172,39
5274.384615384615,172,63
4237.479166666667,172,28
4826.190476190476,172,130
5017.09756097561,172,130
5147.475,172,139
5112.5,172,148
12405.882352941177,192,131
12017.64705882353,192,55
12282.29411764706,192,184
5045.0,192,164
5724.972222222223,192,104
5616.666666666667,192,119
5982.382352941177,192,65
5543.243243243243,192,34
6020.588235294118,192,110
6816.666666666667,192,169
5120.0,192,23
6603.225806451613,192,172
5307.894736842105,192,7
5944.117647058823,192,59
5950.0,192,110
11400.0,192,153
10963.157894736842,192,128
12041.176470588236,192,170
10647.368421052632,192,14
7842.307692307692,192,5
5700.0,192,121
5192.307692307692,192,20
5644.444444444444,192,100
5842.857142857143,192,59
5630.555555555556,192,143
5486.486486486487,192,121
5633.333333333333,192,180
5771.428571428572,192,125
5220.51282051282,192,26
5321.0526315789475,192,19
5949.970588235294,192,109
6103.030303030303,192,115
4774.441860465116,192,18
5397.3421052631575,192,15
5976.441176470588,192,85
6506.451612903225,192,173
5513.513513513513,192,13
5777.114285714286,192,39
5638.888888888889,192,35
5797.142857142857,192,87
13580.0,214,116
15021.42857142857,214,213
12843.6875,214,120
11444.388888888889,214,52
11288.833333333334,214,54
6979.310344827586,214,29
7640.740740740741,214,181
6820.0,214,168
6443.75,214,120
7926.961538461538,214,96
2869.0,214,103
7013.793103448276,214,186
7321.428571428572,214,202
6403.125,214,69
6124.242424242424,214,87
6353.125,214,91
6616.129032258064,214,75
6635.5161290322585,214,203
5754.285714285715,214,39
6799.966666666666,214,162
7618.518518518518,214,183
7555.555555555556,214,102
6088.235294117647,214,87
6496.806451612903,214,176
6680.612903225807,214,145
7051.724137931034,214,196
6723.3,214,79
6726.666666666667,214,147
7020.6551724137935,214,77
6829.966666666666,214,136
7158.620689655172,214,168
6638.709677419355,214,135
6190.909090909091,214,187
6680.645161290323,214,189
6783.333333333333,214,191
6756.666666666667,214,123
6337.46875,214,62
6315.625,214,160
6067.64705882353,214,107
7003.413793103448,214,17
17866.666666666668,239,121
16949.916666666668,239,86
19054.454545454544,239,172
18590.909090909092,239,172
14492.92857142857,239,32
17816.666666666668,239,165
17491.666666666668,239,145
17641.75,239,83
18336.363636363636,239,175
17883.333333333332,239,217
14407.142857142857,239,94
10189.95,239,63
9295.454545454546,239,14
8595.833333333334,239,41
9771.380952380952,239,20
10104.95,239,175
9861.904761904761,239,136
9590.47619047619,239,185
8591.666666666666,239,2
9504.59090909091,239,60
8666.666666666666,239,16
18654.545454545456,239,196
16315.384615384615,239,61
17183.333333333332,239,148
15646.153846153846,239,29
17350.0,239,78
16975.083333333332,239,220
17308.25,239,215
18166.666666666668,239,199
17225.0,239,60
19009.090909090908,239,232
17750.0,239,223
14800.0,239,181
10270.0,239,235
9680.904761904761,239,174
9254.545454545454,239,206
9336.363636363636,239,107
10878.894736842105,239,168
9923.857142857143,239,158
9060.869565217392,239,78
10752.631578947368,267,205
10420.0,267,61
9614.285714285714,267,149
11538.888888888889,267,227
9814.238095238095,267,36
9642.857142857143,267,36
10165.05,267,72
10721.0,267,92
10370.05,267,239
10763.157894736842,267,206
10873.684210526315,267,80
10349.95,267,5
12035.35294117647,267,250
9804.714285714286,267,157
9436.40909090909,267,148
9454.545454545454,267,13
10235.0,267,169
10215.0,267,105
10285.0,267,119
11188.888888888889,267,123
9600.047619047618,267,151
10495.0,267,83
12235.29411764706,267,48
10405.0,267,171
10205.0,267,201
9828.57142857143,267,199
11216.666666666666,267,129
9738.095238095239,267,150
11277.777777777777,267,162
10773.684210526315,267,108
9680.952380952382,267,141
7934.615384615385,267,161
9619.047619047618,267,141
9422.727272727272,267,155
9254.545454545454,267,6
10435.0,267,49
11477.777777777777,267,225
10910.526315789473,267,255
10340.0,267,167
13725.0,267,193
21450.0,298,207
17500.0,298,78
17433.333333333332,298,132
11266.666666666666,298,261
10636.842105263158,298,122
11405.555555555555,298,28
10731.578947368422,298,175
10094.95,298,45
10710.473684210527,298,114
11042.052631578947,298,133
10968.421052631578,298,63
10884.21052631579,298,248
10810.578947368422,298,44
10215.0,298,56
11405.555555555555,298,71
11611.166666666666,298,245
11199.944444444445,298,123
11472.222222222223,298,284
10926.263157894737,298,110
10642.052631578947,298,132
10768.421052631578,298,176
11080.0,298,156
11211.055555555555,298,156
10410.0,298,275
11450.0,298,255
10530.0,298,13
11566.666666666666,298,256
10400.0,298,6
10014.285714285714,298,105
11964.64705882353,298,256
9368.181818181818,298,106
10345.0,298,290
9752.42857142857,298,280
10265.0,298,170
10621.105263157895,298,237
11952.941176470587,298,219
10800.052631578947,298,64
9761.904761904761,298,39
9752.42857142857,298,16
10439.95,298,238
21310.0,332,299
12194.058823529413,332,288
10110.0,332,102
10170.05,332,120
9719.047619047618,332,105
11882.35294117647,332,241
10395.05,332,247
10165.0,332,84
10475.05,332,212
10225.0,332,211
10973.684210526315,332,287
9842.904761904761,332,60
3641.0714285714284,332,163
11244.444444444445,332,200
10636.78947368421,332,150
10605.263157894737,332,189
10250.0,332,29
12129.411764705883,332,312
10926.263157894737,332,318
10984.21052631579,332,279
11466.666666666666,332,284
11115.736842105263,332,312
19590.909090909092,332,238
15715.384615384615,332,18
19181.81818181818,332,246
17508.333333333332,332,75
18854.454545454544,332,85
18718.18181818182,332,42
20610.0,332,280
17300.0,332,11
17549.916666666668,332,57
18436.272727272728,332,290
20400.0,332,66
17416.583333333332,332,94
16983.416666666668,332,86
17591.666666666668,332,36
19490.909090909092,332,149
16900.0,332,2
17866.666666666668,332,190
21190.0,332,239
25950.0,371,260
24644.444444444445,371,172
23244.444444444445,371,127
28525.0,371,331
29462.375,371,233
26362.625,371,256
16849.916666666668,371,331
14514.285714285714,371,253
14557.214285714286,371,132
13613.333333333334,371,109
16200.0,371,344
15171.42857142857,371,292
14900.0,371,82
14864.214285714286,371,264
13480.0,371,30
16061.538461538461,371,214
14514.285714285714,371,70
6450.0,371,183
14635.642857142857,371,184
6309.090909090909,371,183
13566.6,371,2
15646.076923076924,371,344
15823.076923076924,371,167
15823.076923076924,371,312
13799.933333333332,371,157
12825.0,371,51
13673.333333333334,371,98
15171.42857142857,371,215
13466.6,371,17
17208.333333333332,371,321
14742.857142857143,371,178
14542.785714285714,371,33
15669.23076923077,371,218
14542.785714285714,371,105
14928.5,371,320
15014.285714285714,371,288
13666.6,371,157
14750.0,371,145
12906.25,371,106
15738.461538461539,371,308
31785.714285714286,414,219
30328.571428571428,414,326
28900.0,414,381
27400.0,414,67
27762.625,414,365
26325.0,414,206
29900.14285714286,414,101
20130.0,414,148
16415.46153846154,414,189
15653.846153846154,414,255
17533.333333333332,414,163
16833.25,414,165
15723.076923076924,414,183
17566.666666666668,414,336
14657.07142857143,414,35
14942.92857142857,414,382
16292.307692307691,414,304
14835.714285714286,414,168
15753.846153846154,414,74
16038.461538461539,414,111
17200.0,414,326
15164.285714285714,414,1
15523.076923076924,414,196
17125.0,414,385
17658.333333333332,414,402
18809.090909090908,414,325
16900.0,414,285
16238.461538461539,414,320
15121.42857142857,414,367
22911.11111111111,414,230
16253.846153846154,414,220
16330.76923076923,414,289
16400.0,414,189
15135.714285714286,414,96
14585.642857142857,414,226
15530.846153846154,414,54
15738.384615384615,414,132
17383.416666666668,414,316
16130.692307692309,414,255
14935.785714285714,414,116
18772.727272727272,461,250
18518.272727272728,461,86
17841.666666666668,461,185
18041.666666666668,461,60
17750.0,461,136
17733.25,461,260
21660.0,461,162
29114.285714285714,461,77
28262.5,461,221
26912.5,461,289
25925.0,461,414
18718.18181818182,461,103
17566.666666666668,461,20
16238.461538461539,461,1
17616.666666666668,461,173
19027.18181818182,461,70
20320.0,461,379
17408.333333333332,461,158
19563.727272727272,461,240
19154.636363636364,461,380
18527.272727272728,461,195
18681.81818181818,461,250
18681.727272727272,461,42
19072.727272727272,461,300
17066.666666666668,461,264
18509.090909090908,461,378
23455.666666666668,461,322
31471.571428571428,461,150
16833.333333333332,461,10
16791.75,461,143
18799.909090909092,461,169
19318.18181818182,461,289
17491.666666666668,461,325
17375.0,461,89
18954.545454545456,461,388
18827.272727272728,461,34
17658.25,461,144
17591.666666666668,461,209
17758.333333333332,461,240
18536.363636363636,461,37
21830.0,515,398
20920.0,515,157
21580.0,515,479
19309.090909090908,515,382
20850.0,515,407
24089.0,515,473
22833.222222222223,515,251
19354.545454545456,515,71
21270.1,515,53
21210.0,515,106
31014.285714285714,515,321
20740.0,515,104
20780.0,515,22
20330.0,515,394
21240.1,515,105
22944.444444444445,515,277
20850.1,515,329
19372.727272727272,515,315
23133.333333333332,515,449
20199.9,515,170
20980.1,515,132
22400.0,515,295
19572.727272727272,515,138
21470.1,515,402
21420.0,515,467
21060.1,515,225
20960.0,515,477
25162.375,515,64
21499.9,515,201
21220.0,515,416
21129.9,515,159
20260.0,515,168
21340.1,515,355
20480.0,515,296
20460.0,515,392
20530.0,515,167
21860.0,515,481
21230.0,515,27
18818.18181818182,515,385
20830.0,515,277
25787.625,574,302
24122.333333333332,574,552
21370.0,574,33
23289.0,574,549
22422.11111111111,574,134
23366.666666666668,574,333
33528.57142857143,574,380
36883.333333333336,574,296
26387.625,574,466
24566.666666666668,574,487
25200.0,574,460
24511.11111111111,574,459
23311.0,574,103
23511.222222222223,574,210
23677.88888888889,574,224
24222.222222222223,574,300
22533.333333333332,574,40
23933.333333333332,574,407
23255.444444444445,574,500
24244.333333333332,574,488
25737.625,574,538
21610.0,574,60
19245.363636363636,574,19
25637.5,574,453
21220.0,574,20
23766.666666666668,574,388
24189.0,574,334
23588.88888888889,574,360
23533.222222222223,574,317
25300.0,574,230
22799.88888888889,574,61
26062.5,574,571
21280.0,574,246
26237.625,574,134
24044.555555555555,574,291
24533.222222222223,574,436
26787.5,574,434
26174.875,574,169
26150.0,574,537
24766.777777777777,574,449
29428.571428571428,641,94
27037.5,641,570
26162.5,641,511
27250.0,641,64
27812.625,641,361
26262.375,641,256
27175.0,641,337
28985.714285714286,641,437
34150.0,641,523
27537.5,641,612
30342.714285714286,641,164
30700.0,641,494
33633.333333333336,641,424
29914.285714285714,641,358
34816.666666666664,641,420
25550.0,641,176
27437.5,641,210
27362.5,641,12
28137.375,641,366
27800.0,641,444
30314.285714285714,641,350
30157.14285714286,641,577
30428.714285714286,641,296
27712.5,641,132
29857.0,641,579
29957.14285714286,641,177
28871.428571428572,641,367
27450.0,641,596
30800.14285714286,641,576
29928.714285714286,641,341
29214.285714285714,641,295
27150.0,641,419
29185.714285714286,641,467
29685.714285714286,641,524
26762.625,641,163
29200.0,641,585
27950.0,641,470
29628.571428571428,641,328
29300.14285714286,641,454
29228.428571428572,641,261
35483.5,715,519
31357.14285714286,715,651
30885.714285714286,715,293
31771.428571428572,715,247
30214.14285714286,715,527
33733.333333333336,715,397
33916.666666666664,715,610
35066.5,715,526
31271.428571428572,715,682
32757.14285714286,715,651
36950.0,715,566
32128.714285714286,715,536
34033.333333333336,715,62
34116.666666666664,715,429
31543.0,715,221
31385.714285714286,715,446
31942.85714285714,715,161
30971.571428571428,715,294
32471.285714285714,715,142
32271.428571428572,715,69
35100.166666666664,715,521
30428.714285714286,715,100
31057.285714285714,715,285
31471.285714285714,715,371
31285.714285714286,715,154
31785.85714285714,715,312
31171.428571428572,715,614
32314.285714285714,715,269
33716.666666666664,715,359
32657.14285714286,715,566
32728.571428571428,715,120
31643.0,715,475
30842.85714285714,715,198
31928.571428571428,715,643
33583.166666666664,715,152
31300.0,715,586
33583.333333333336,715,354
31685.714285714286,715,624
33800.0,715,387
29257.14285714286,715,477
36566.833333333336,797,775
32899.857142857145,797,504
36116.666666666664,797,191
35283.166666666664,797,199
36233.166666666664,797,238
36683.166666666664,797,308
37233.333333333336,797,638
35433.333333333336,797,680
36500.0,797,457
36000.0,797,252
35766.666666666664,797,305
35916.5,797,739
36666.666666666664,797,312
37533.333333333336,797,157
37016.666666666664,797,469
35183.5,797,125
36850.0,797,77
35766.5,797,644
35416.666666666664,797,227
35616.666666666664,797,78
35466.666666666664,797,719
37166.833333333336,797,219
36783.5,797,364
41680.0,797,300
36350.0,797,688
36133.166666666664,797,341
37066.666666666664,797,18
36066.833333333336,797,1
37233.333333333336,797,264
36083.333333333336,797,131
36316.666666666664,797,383
36549.833333333336,797,454
44580.0,797,679
35600.0,797,651
39483.333333333336,797,468
35416.666666666664,797,600
35766.666666666664,797,101
35400.0,797,426
36650.0,797,534
34800.0,797,714
43140.0,889,242
39383.333333333336,889,705
42240.0,889,20
38916.833333333336,889,27
37750.0,889,808
35366.5,889,601
40880.0,889,375
41360.2,889,599
39433.166666666664,889,621
38800.0,889,467
42200.2,889,490
42200.2,889,317
40960.0,889,838
39100.0,889,697
40960.0,889,860
37683.166666666664,889,38
42300.2,889,56
41800.0,889,340
38650.0,889,612
42980.0,889,103
38616.666666666664,889,887
42740.0,889,10
41660.0,889,744
40820.0,889,256
40680.0,889,251
43120.0,889,5
42120.0,889,132
39116.666666666664,889,345
40400.0,889,748
40359.8,889,69
40360.0,889,449
44439.8,889,67
40580.0,889,382
38333.333333333336,889,758
39150.0,889,147
40740.0,889,241
40399.8,889,318
43159.8,889,347
41000.0,889,674
40920.0,889,715
44360.0,992,813
41400.0,992,694
44780.0,992,799
40860.0,992,743
45980.0,992,7
46640.0,992,89
44540.0,992,952
45180.0,992,483
45799.8,992,274
44360.0,992,908
42520.0,992,720
45560.0,992,560
42400.2,992,114
45380.0,992,218
45060.0,992,354
43439.8,992,688
46340.0,992,800
45580.0,992,535
45980.0,992,498
45160.0,992,631
43220.0,992,767
39433.333333333336,992,727
41980.2,992,219
43739.8,992,970
43160.0,992,415
43060.2,992,858
41480.0,992,668
42520.0,992,804
45079.8,992,236
44260.0,992,932
44520.2,992,347
43119.8,992,340
42860.0,992,786
44060.0,992,393
45579.8,992,275
45460.0,992,259
43859.8,992,880
44139.8,992,677
42860.0,992,703
44900.0,992,498
52925.0,1107,23
51724.75,1107,504
48720.0,1107,953
53074.75,1107,632
48000.0,1107,699
54175.25,1107,65
51875.0,1107,648
48759.8,1107,1049
47820.0,1107,441
46480.0,1107,856
47259.8,1107,727
44860.0,1107,799
57325.0,1107,750
48620.2,1107,541
54275.0,1107,668
53000.0,1107,279
53575.0,1107,378
54000.0,1107,47
47100.0,1107,974
47240.0,1107,1032
52675.0,1107,5
48599.8,1107,1091
48180.0,1107,535
49380.0,1107,748
54675.25,1107,79
50525.0,1107,810
50900.0,1107,700
48540.0,1107,705
48840.0,1107,957
52950.0,1107,47
51275.0,1107,304
50700.0,1107,781
52950.0,1107,28
51025.0,1107,550
48040.2,1107,286
53050.0,1107,119
54075.0,1107,260
51550.0,1107,664
50500.0,1107,1088
52875.0,1107,659
88900.0,1235,580
92899.66666666667,1235,306
87433.66666666667,1235,1132
89766.66666666667,1235,512
108900.0,1235,8
92966.66666666667,1235,541
90133.0,1235,966
86267.0,1235,1230
100850.0,1235,675
86066.66666666667,1235,914
105500.0,1235,287
103450.5,1235,260
87633.33333333333,1235,821
88300.0,1235,729
93499.66666666667,1235,1041
93033.33333333333,1235,371
87100.0,1235,1184
88933.0,1235,563
103550.5,1235,378
92733.33333333333,1235,555
91566.66666666667,1235,1216
103300.0,1235,752
103150.0,1235,681
105450.0,1235,179
89200.0,1235,404
104949.5,1235,55
95299.66666666667,1235,500
92133.66666666667,1235,637
104350.0,1235,150
93133.0,1235,1025
94833.66666666667,1235,530
101400.0,1235,137
88866.66666666667,1235,560
89766.66666666667,1235,1163
104500.0,1235,622
93766.66666666667,1235,902
87400.0,1235,1214
88366.66666666667,1235,849
102550.0,1235,15
89033.33333333333,1235,1205
106150.0,1377,1110
104100.0,1377,647
104650.5,1377,571
110450.0,1377,141
101100.0,1377,1054
105549.5,1377,1108
106249.5,1377,356
111450.5,1377,471
110249.5,1377,732
111949.5,1377,767
115100.5,1377,84
104550.0,1377,942
101800.0,1377,918
96533.66666666667,1377,1336
112650.0,1377,733
106250.0,1377,646
114000.0,1377,749
119400.0,1377,842
101999.5,1377,608
104800.5,1377,730
99533.33333333333,1377,1302
95533.33333333333,1377,1348
106449.5,1377,808
102600.5,1377,1058
112250.0,1377,119
104350.0,1377,449
108750.0,1377,259
119750.0,1377,80
105250.0,1377,549
114500.0,1377,66
102950.0,1377,1125
91400.33333333333,1377,1365
114500.0,1377,304
116850.5,1377,780
106749.5,1377,1018
108100.0,1377,460
107150.5,1377,347
112400.5,1377,144
107450.5,1377,403
111250.0,1377,158
123749.5,1536,47
126900.5,1536,180
128950.0,1536,226
115800.5,1536,668
110699.5,1536,1082
113250.5,1536,1019
103499.5,1536,1408
115250.5,1536,970
120900.0,1536,553
110649.5,1536,1253
111750.0,1536,1057
120950.5,1536,395
105850.0,1536,1032
117049.5,1536,604
129850.0,1536,212
107200.0,1536,705
101750.5,1536,1427
109550.0,1536,978
119600.0,1536,753
127200.0,1536,248
122450.0,1536,401
111650.0,1536,1167
124549.5,1536,772
126350.5,1536,780
117900.0,1536,714
120749.5,1536,554
